keyword,name,price,price_int,stock,rating,shop.city,shop.is_gold,shop.is_official,shop.is_power_badge,shop.name
BLACKMORES BIO ACE EXCELL (30),Blackmores Bio Ace Excell BPOM Kalbe - 30 Softgel,Rp 157.500,157500,32767,5,Jakarta,True,False,True,Bos Vitamin
BLACKMORES BIO ACE EXCELL (30),BLACKMORES BIO ACE EXCELL EXCEL KALBE VITAMIN ANTIOKSIDAN - 30 KAPSUL,Rp 210.000,210000,32592,0,Jakarta,True,False,True,DAILY PROMOTION
BLACKMORES BIO ACE EXCELL (30),Blackmores Bio Ace Excell Kalbe BPOM - 30 Softgel,Rp 157.500,157500,100,5,Jakarta,True,True,True,suplemenfactory
BLACKMORES BIO ACE EXCELL (30),Blackmores Bio Ace Excell 30 pcs Suplemen Vitamin Hati,Rp 172.600,172600,1,0,Surabaya,True,False,True,Toko Oneway
BLACKMORES BIO ACE EXCELL (30),Blackmores Bio Ace Excell 30 Softgel,Rp 172.500,172500,97,5,Jakarta,True,False,True,Banda Neira Store
BLACKMORES BIO ACE EXCELL (30),BLACKMORES BIO ACE EXCELL 30 KAPSUL,Rp 309.000,309000,32767,0,Medan,True,False,True,AstriTokoGua
BLACKMORES BIO ACE EXCELL (30),Blackmores Bio Ace Excell (30) BPOM KALBE,Rp 157.500,157500,3,0,Bekasi,True,False,True,Mitrasana Bekasi
BLACKMORES BIO ACE EXCELL (30),Blackmores Bio Ace Excell isi 30,Rp 160.000,160000,32767,0,Medan,True,False,True,Midas Collection
BLACKMORES BIO ACE EXCELL (30),Blackmores Bio Ace Excell 30 Softgel Kalbe BPOM vitamin dan mineral,Rp 187.500,187500,10,0,Jakarta,True,False,True,goddiefabric
BLACKMORES BIO ACE EXCELL (30),Blackmores Bio Ace Excell BPOM Kalbe - 30 Softgel,Rp 156.000,156000,3,0,Jakarta,True,False,True,Tokyo Kyoto-26
BLACKMORES BIO ACE EXCELL (30),Blackmores bio ace excell isi 30 BPOM,Rp 178.500,178500,12,0,Pekanbaru,True,False,True,fitforlife
BLACKMORES BIO ACE EXCELL (30),Premium Quality Blackmores Bio Ace Excell 30 Softgel,Rp 224.500,224500,1079,0,Jakarta,True,False,True,Storiqa Shop
BLACKMORES BIO ACE EXCELL (30),Blackmores Bio Ace Excell BPOM Kalbe - 30 Softgel,Rp 157.500,157500,32767,0,Jakarta,True,False,True,Rud Shop
BLACKMORES BIO ACE EXCELL (30),Blackmores Bio Ace Excell isi 30,Rp 189.000,189000,6,0,Surabaya,True,False,True,Bayi Murah Online SBY
